order_type.keyword	Top values of order_type_str.keyword	COMPLETED	CANCELLED	FAILED	Other	Total
3	    POSTPAID_ADD_OFFER_SUB	        271,782	38,415	8,024	10,831	329,052
12002	PREPAID_PROVISIONING	        221,093	20,205	23,254	28	264,580
4	    POSTPAID_REMOVE_OFFER_SUB	    157,614	4,538	86	7,752	169,990
56	    PREPAID_CANCEL	                45,443	 	 	243	45,686
69	    PREPAID_ADD_OFFER	            40,348	25,554	5,492	1,345	72,739
66	    PREPAID_REGISTRATION	        33,617	1,863	2	58	35,540
12008	PREPAID_REMOVE_PACKAGE	        23,727	 	643	 	24,370
128	    BN_CHANGE_PACKAGE	            19,710	67	40	2	19,819
51	    PREPAID_PREACTIVATION	        19,054	 	 	 	19,054
40	    PROMISE_TO_PAY	                13,149	 	7	42	13,198
5	    POSTPAID_UPDATE_PARAMETER	    11,791	 	76	8,637	20,504
12006	PREPAID_GPRS_ENABLE	            8,978	 	15	3	8,996
2	    CHANGE_PP	                    8,780	42	25	16	8,863
41	    CREATE_MEMO	                    6,219	 	 	1	6,220
71	    PREPAID_SUSPEND	                4,569	 	1	2,713	7,283
70	    PREPAID_REMOVE_OFFER	        4,244	247	3	445	4,939
18	    FULL_SUSPEND	                3,863	 	1,437	 	5,300
124	    BN_SUSPEND_SUB	                3,189	 	1	 	3,190
12007	PREPAID_GPRS_DISABLE	        2,927	 	9	 	2,936
11013	UPDATE_CALL_VERIFICATION	    2,921	 	34	2,000	4,955
11018	POSTPAID_BUY_IR_DATA_PACK	    2,717	18	4	212	2,951
1	    ACTIVATION	                    2,686	3	4	1	2,694
125	    BN_RESTORE_SUB	                2,317	 	1	 	2,318
20	    SWAPSIM	                        2,033	57	2	36	2,128
39	    MOVE_SUBSCRIBER_NO_PROVISIONING	1,840	 	16	29	1,885
24	    CHANGE_ACCOUNT_BILLING_INFO	    1,831	 	3	 	1,834
53	    PREPAID_TO_POSTPAID	            1,825	1	 	 	1,826
44001	TNP_CREATE_SUB	                1,807	 	6	 	1,813
12	    CANCEL_SUBSCRIBER	            1,726	320	131	43	2,220
14	    CANCEL_SUBSCRIBER	            1,585	 	2	70	1,657
68	    PREPAID_SWAP_SIM	            1,520	10	2	88	1,620
10	    CANCEL_SUBSCRIBER	            1,477	 	 	1	1,478
12011	PREPAID_CHANGE_OWNER	        1,377	 	1	18	1,396
7	    MNP_PORT_IN_EXT	                1,305	 	 	1	1,306
13	    CREATE_SECOND_PCN	            1,196	 	 	443	1,639
121	    BN_CREATE_SUB	                1,147	 	1	 	1,148
41004	CREATE_BILL_ADJUSTMENT	        1,142	 	 	 	1,142
26	    CHANGE_CUSTOMER_GENERAL_INFO	1,131	 	 	 	1,131
17	    SOFT_SUSPEND	                1,122	 	 	263	1,385
44002	TNP_CANCEL_SUB	                1,053	 	1	 	1,054
19	    RESTORE	                        996	 	1	21	1,018
122	    BN_CANCEL_SUB	                881	 	 	 	881
42	    GPRS_ENABLE	                    818	3	2	48	871
45008	GET_AND_CONFIRM_RESOURCE	    682	 	 		
36	    MNP_SHARE_PLAN	                648	 	 	 	648
11001	APPLY_SHARE_PLAN	            627	2	15	4	648
34	    PREPAID_REGISTRATION_UNPAIRED	576	3	 	 	579
35	    PREPAID_ACTIVATION_UNPAIRED	    574	 	 	1	575
11006	ACTIVATION_CREATE_SUBSCRIBER	549	 	2	22	573
60	    MNP_PREPAID_PORT_OUT	        548	 	 	38	586
23	    POSTPAID_UPDATE_NAME_ADDRESS	516	 	 	 	516
57	    MNP_PORT_IN_EXTN_PREPAID	    444	 	 	2	446
41002	CREATE_CHARGE_ADJUSTMENT	    438	1	14	 	453
54	    POSTPAID_TO_PREPAID	            401	1	 	8	410
11002	BREAK_SHARE_PLAN	            352	 	25	 	377
6	    ADD_IMEI	                    329	 	 	 	329
43	    GPRS_DISABLE	                321	 	 	36	357
48	    CREATE_TDS_PROFILE	            218	 	 	 	218
15	    CHANGE_OWNER_TO_INDI	        201	 	 	 	201
21	    CHANGE_MSISDN	                166	 	 	16	182
123	    BN_RENEW_SUB	                131	 	 	 	131
45005	SAVE_PARTIAL_ORDER	            113	 	 	2	115
81	    REMOVE_OMX_FUT_OFFER_COP	    108	 	 	 	108
12014	PREPAID_RE_REGISTER	            74	 	4	 	78
27	    CHANGE_BILLING_FORMAT	        69	 	 	9	78
11005	ACTIVATION_CREATE_PROFILE	    61	 	1	 	62
28	    CHANGE_SUBSCRIBER_GENERAL_INFO	35	 	 	 	35
11003	POSTPAID_ADD_OFFER_SUB_MSIM_RIO	32	 	 	 	32
11	    POSTPAID_L9_RESUME	            31	 	 	2	33
16	    CHANGE_OWNER_TO_CORP	        30	 	 	 	30
55	    PREPAID_RENEW	                27	 	 	15	42
12013	PREPAID_CHANGE_PACKAGE	22	4	 	 	26
11017	POSTPAID_UPDATE_RESOURCE	19	 	 	 	19
45006	UPDATE_PARTIAL_ORDER	18	 	 	 	18
11004	POSTPAID_REMOVE_OFFER_SUB_MSIM_RIO	13	 	 	2	15
52	    PREPAID_ACTIVATION	12	 	 	 	12
72	    PREPAID_RESTORE	11	1	 	7	19
82	    OMX_UPDATE_FUT_OFFER_COP_DATE	10	 	 	 	10
46	    MSIM_CHANGE_ALIAS	9	 	 	 	9
11019	UPDATE_MOBILE_PROTECTION_INFO	8	 	 	 	8
11022	POSTPAID_ADD_OFFER_BENEFIT	7	 	 	 	7
30	    CANCEL_BILL_CONSOLIDATION	5	 	3	 	8
11014	MANAGE_KNOX_ACTIVITY	3	 	 	 	3
12001	PREPAID_CHANGE_MSISDN	3	 	 	 	3
45001	CUSTOMER_VERIFICATION	2	 	 	1	3
45007	CANCEL_PARTIAL_ORDER	2	 	 	 	2
41003	CREATE_REVERSAL_ADJUSTMENT	1	 	 	 	1





order_type.keyword	Top values of order_type_str.keyword	COMPLETED	CANCELLED	FAILED	Other	Total
1	ACTIVATION	2,686	3	4	1	2,694
2	CHANGE_PP	8,780	42	25	16	8,863
3	POSTPAID_ADD_OFFER_SUB	271,782	38,415	8,024	10,831	329,052
4	POSTPAID_REMOVE_OFFER_SUB	157,614	4,538	86	7,752	169,990
5	POSTPAID_UPDATE_PARAMETER	11,791	 	76	8,637	20,504
6	ADD_IMEI	329	 	 	 	329
7	MNP_PORT_IN_EXT	1,305	 	 	1	1,306
10	CANCEL_SUBSCRIBER	1,477	 	 	1	1,478
11	POSTPAID_L9_RESUME	31	 	 	2	33
12	CANCEL_SUBSCRIBER	1,726	320	131	43	2,220
13	CREATE_SECOND_PCN	1,196	 	 	443	1,639
14	CANCEL_SUBSCRIBER	1,585	 	2	70	1,657
15	CHANGE_OWNER_TO_INDI	201	 	 	 	201
16	CHANGE_OWNER_TO_CORP	30	 	 	 	30
17	SOFT_SUSPEND	1,122	 	 	263	1,385
18	FULL_SUSPEND	3,863	 	1,437	 	5,300
19	RESTORE	996	 	1	21	1,018
20	SWAPSIM	2,033	57	2	36	2,128
21	CHANGE_MSISDN	166	 	 	16	182
23	POSTPAID_UPDATE_NAME_ADDRESS	516	 	 	 	516
24	CHANGE_ACCOUNT_BILLING_INFO	1,831	 	3	 	1,834
26	CHANGE_CUSTOMER_GENERAL_INFO	1,131	 	 	 	1,131
27	CHANGE_BILLING_FORMAT	69	 	 	9	78
28	CHANGE_SUBSCRIBER_GENERAL_INFO	35	 	 	 	35
30	CANCEL_BILL_CONSOLIDATION	5	 	3	 	8
34	PREPAID_REGISTRATION_UNPAIRED	576	3	 	 	579
35	PREPAID_ACTIVATION_UNPAIRED	574	 	 	1	575
36	MNP_SHARE_PLAN	648	 	 	 	648
39	MOVE_SUBSCRIBER_NO_PROVISIONING	1,840	 	16	29	1,885
40	PROMISE_TO_PAY	13,149	 	7	42	13,198
41	CREATE_MEMO	6,219	 	 	1	6,220
42	GPRS_ENABLE	818	3	2	48	871
43	GPRS_DISABLE	321	 	 	36	357
46	MSIM_CHANGE_ALIAS	9	 	 	 	9
48	CREATE_TDS_PROFILE	218	 	 	 	218
51	PREPAID_PREACTIVATION	19,054	 	 	 	19,054
52	PREPAID_ACTIVATION	12	 	 	 	12
53	PREPAID_TO_POSTPAID	1,825	1	 	 	1,826
54	POSTPAID_TO_PREPAID	401	1	 	8	410
55	PREPAID_RENEW	27	 	 	15	42
56	PREPAID_CANCEL	45,443	 	 	243	45,686
57	MNP_PORT_IN_EXTN_PREPAID	444	 	 	2	446
60	MNP_PREPAID_PORT_OUT	548	 	 	38	586
66	PREPAID_REGISTRATION	33,617	1,863	2	58	35,540
68	PREPAID_SWAP_SIM	1,520	10	2	88	1,620
69	PREPAID_ADD_OFFER	40,348	25,554	5,492	1,345	72,739
70	PREPAID_REMOVE_OFFER	4,244	247	3	445	4,939
71	PREPAID_SUSPEND	4,569	 	1	2,713	7,283
72	PREPAID_RESTORE	11	1	 	7	19
81	REMOVE_OMX_FUT_OFFER_COP	108	 	 	 	108
82	OMX_UPDATE_FUT_OFFER_COP_DATE	10	 	 	 	10
121	BN_CREATE_SUB	1,147	 	1	 	1,148
122	BN_CANCEL_SUB	881	 	 	 	881
123	BN_RENEW_SUB	131	 	 	 	131
124	BN_SUSPEND_SUB	3,189	 	1	 	3,190
125	BN_RESTORE_SUB	2,317	 	1	 	2,318
128	BN_CHANGE_PACKAGE	19,710	67	40	2	19,819
11001	APPLY_SHARE_PLAN	627	2	15	4	648
11002	BREAK_SHARE_PLAN	352	 	25	 	377
11003	POSTPAID_ADD_OFFER_SUB_MSIM_RIO	32	 	 	 	32
11004	POSTPAID_REMOVE_OFFER_SUB_MSIM_RIO	13	 	 	2	15
11005	ACTIVATION_CREATE_PROFILE	61	 	1	 	62
11006	ACTIVATION_CREATE_SUBSCRIBER	549	 	2	22	573
11013	UPDATE_CALL_VERIFICATION	2,921	 	34	2,000	4,955
11014	MANAGE_KNOX_ACTIVITY	3	 	 	 	3
11017	POSTPAID_UPDATE_RESOURCE	19	 	 	 	19
11018	POSTPAID_BUY_IR_DATA_PACK	2,717	18	4	212	2,951
11019	UPDATE_MOBILE_PROTECTION_INFO	8	 	 	 	8
11022	POSTPAID_ADD_OFFER_BENEFIT	7	 	 	 	7
12001	PREPAID_CHANGE_MSISDN	3	 	 	 	3
12002	PREPAID_PROVISIONING	221,093	20,205	23,254	28	264,580
12006	PREPAID_GPRS_ENABLE	8,978	 	15	3	8,996
12007	PREPAID_GPRS_DISABLE	2,927	 	9	 	2,936
12008	PREPAID_REMOVE_PACKAGE	23,727	 	643	 	24,370
12011	PREPAID_CHANGE_OWNER	1,377	 	1	18	1,396
12013	PREPAID_CHANGE_PACKAGE	22	4	 	 	26
12014	PREPAID_RE_REGISTER	74	 	4	 	78
41002	CREATE_CHARGE_ADJUSTMENT	438	1	14	 	453
41003	CREATE_REVERSAL_ADJUSTMENT	1	 	 	 	1
41004	CREATE_BILL_ADJUSTMENT	1,142	 	 	 	1,142
44001	TNP_CREATE_SUB	1,807	 	6	 	1,813
44002	TNP_CANCEL_SUB	1,053	 	1	 	1,054
45001	CUSTOMER_VERIFICATION	2	 	 	1	3
45005	SAVE_PARTIAL_ORDER	113	 	 	2	115
45006	UPDATE_PARTIAL_ORDER	18	 	 	 	18
45007	CANCEL_PARTIAL_ORDER	2	 	 	 	2
45008	GET_AND_CONFIRM_RESOURCE	682	 	 		
